Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,Drug Use Disorder (any past year),0,72722,0.678,0.214,100.0,4.582,100.0,0.954,0.029,50,0.015,53,0.001,3282,0.985
Top 1% Risk,Drug Use Disorder (any past year),0,727,0.532,0.675,9.874,45.254,9.874,0.543,0.231,50,0.152,53,0.133,279,0.848
Top 5% Risk,Drug Use Disorder (any past year),0,3636,0.622,0.559,34.034,31.188,34.034,0.687,0.081,50,0.044,53,0.021,1084,0.956
Overall,Drug Use Disorder (any past year),1,17747,0.694,0.369,100.0,13.771,100.0,0.864,0.075,98,0.04,67,0.004,2346,0.96
Top 1% Risk,Drug Use Disorder (any past year),1,177,0.563,0.636,4.214,58.192,4.214,0.593,0.731,98,0.951,67,0.905,5,0.049
Top 5% Risk,Drug Use Disorder (any past year),1,887,0.544,0.688,18.453,50.846,18.453,0.526,0.318,98,0.217,67,0.154,353,0.783
Overall,Serious Psychological Distress (any past year),0,75394,0.539,0.144,100.0,2.066,100.0,0.979,0.001,1,0.001,3,0.0,1557,0.999
Top 1% Risk,Serious Psychological Distress (any past year),0,753,0.594,0.344,5.584,11.554,5.584,0.882,0.022,1,0.011,3,0.005,86,0.989
Top 5% Risk,Serious Psychological Distress (any past year),0,3769,0.687,0.229,12.516,5.174,12.516,0.948,0.01,1,0.005,3,0.001,194,0.995
Overall,Serious Psychological Distress (any past year),1,15075,0.646,0.527,100.0,27.98,100.0,0.722,0.066,147,0.035,117,0.011,4071,0.965
Top 1% Risk,Serious Psychological Distress (any past year),1,150,0.5,0.648,2.063,58.0,2.063,0.58,0.734,87,1.0,63,1.0,0,0.0
Top 5% Risk,Serious Psychological Distress (any past year),1,753,0.53,0.692,9.294,52.058,9.294,0.519,0.448,147,0.375,117,0.324,245,0.625
Overall,Felt Worthless (nearly every day),0,80809,0.552,0.184,100.0,3.382,100.0,0.966,0.001,2,0.001,7,0.0,2731,0.999
Top 1% Risk,Felt Worthless (nearly every day),0,808,0.588,0.404,4.647,15.718,4.647,0.837,0.029,2,0.016,7,0.01,125,0.984
Top 5% Risk,Felt Worthless (nearly every day),0,4040,0.655,0.315,14.453,9.777,14.453,0.901,0.01,2,0.005,7,0.002,393,0.995
Overall,Felt Worthless (nearly every day),1,9660,0.678,0.558,100.0,31.501,100.0,0.688,0.088,146,0.048,113,0.017,2897,0.952
Top 1% Risk,Felt Worthless (nearly every day),1,96,0.5,0.645,1.84,58.333,1.84,0.583,0.737,56,1.0,40,1.0,0,0.0
Top 5% Risk,Felt Worthless (nearly every day),1,483,0.542,0.678,8.413,53.002,8.413,0.538,0.567,146,0.57,113,0.498,110,0.43
Overall,Major Depressive Episode (any past year),0,81865,0.546,0.183,100.0,3.337,100.0,0.967,0.001,2,0.001,8,0.0,2730,0.999
Top 1% Risk,Major Depressive Episode (any past year),0,818,0.59,0.388,4.283,14.303,4.283,0.85,0.031,2,0.017,8,0.011,115,0.983
Top 5% Risk,Major Depressive Episode (any past year),0,4093,0.652,0.303,13.507,9.015,13.507,0.908,0.011,2,0.005,8,0.002,367,0.995
Overall,Major Depressive Episode (any past year),1,8604,0.645,0.591,100.0,35.379,100.0,0.65,0.088,146,0.048,112,0.02,2898,0.952
Top 1% Risk,Major Depressive Episode (any past year),1,86,0.5,0.656,1.61,56.977,1.61,0.57,0.726,49,1.0,37,1.0,0,0.0
Top 5% Risk,Major Depressive Episode (any past year),1,430,0.541,0.675,7.589,53.721,7.589,0.542,0.597,146,0.632,112,0.563,85,0.368
Overall,Received Substance Use or Mental Health Treatment (any past year),0,73079,0.672,0.195,100.0,3.789,100.0,0.962,0.051,74,0.027,73,0.001,2695,0.973
Top 1% Risk,Received Substance Use or Mental Health Treatment (any past year),0,730,0.554,0.664,11.665,44.247,11.665,0.559,0.315,74,0.229,73,0.179,249,0.771
Top 5% Risk,Received Substance Use or Mental Health Treatment (any past year),0,3653,0.657,0.509,34.2,25.924,34.2,0.741,0.135,74,0.078,73,0.027,873,0.922
Overall,Received Substance Use or Mental Health Treatment (any past year),1,17390,0.689,0.414,100.0,17.292,100.0,0.829,0.047,74,0.025,47,0.003,2933,0.975
Top 1% Risk,Received Substance Use or Mental Health Treatment (any past year),1,173,0.579,0.646,3.326,57.803,3.326,0.578,0.67,74,0.74,47,0.644,26,0.26
Top 5% Risk,Received Substance Use or Mental Health Treatment (any past year),1,869,0.518,0.712,15.597,53.97,15.597,0.491,0.251,74,0.158,47,0.118,395,0.842
